Column1,title,text
0,"Amid Riots, Maryland Governor Will Deploy National Guard To Baltimore","A day of mourning gave way to an evening of riots and looting in Baltimore on Monday, where Gov. Larry Hogan declared a state of emergency and deployed the National Guard."
0,Military-backed police deploy in Rio favela in ‘pacification’ effort,"More than 1,000 police backed by the military and armored vehicles occupied the vast Mare favela near Rio de Janeiro’s international airport at dawn Sunday, just 74 days before the World Cup."
0,France to deploy soldiers for next 'yellow vest' protests to curb violence,"French soldiers will be deployed Saturday to help guard public buildings, allowing police to focus on dealing with ""yellow vest"" demonstrators in case of renewed violence in Paris and other cities, the government said Wednesday."
0,Army to be deployed to quell violent crime in Cape Town,"Authorities in South Africa will deploy the army to parts of the Western Cape province, including the port city of Cape Town, to help police battle a surge of gang-related violence in its poorer neighbourhoods."
0,Slovenia to deploy soldiers to boost border patrols for migrants,Slovenia's army says 35 troops will join police in patrolling borders in the southwest of the country after observing a rise in the number of migrants in the area.
0,Paris police brace for May 1 rallies,"France's zero-tolerance approach to protest violence will be tested Wednesday when a heady mix of labour unionists, ""yellow vest"" demonstrators and hardline hooligans are expected to hit the streets on Labour Day."
0,"German police deploy over 1,000 officers at far-right demonstration","German police called in more than 1,000 officers in an attempt to prevent violence during a far-right protest in the eastern town of Koethen on Sunday."
0,Brazil to boost troop deployment in troubled state,"The Brazilian army has said that it will deploy more troops, armoured vehicles and military aviation to a southeastern state to fill a security vacuum where the police force has been on strike for a week. A wave of violence and crime in Espirito Santo has claimed more than 100 lives so far, which is a major rise from the four murders recorded in all of January."
0,"Jakarta Police deploy 5,500 personnel to safeguard Easter celebrations","The Jakarta Police have deployed 5,500 personnel to safeguard the observance of Easter this weekend."
0,"Chicago Police To Deploy More Than 1,000 Extra Officers For Memorial Day Weekend","CHICAGO (CBS) — The Chicago Police Department will beef up patrols for the busy Memorial Day weekend, with more than 1,000 extra officers on the streets."
0,"Indonesia to deploy 450,000 troops, police to secure elections announcement","JAKARTA, May 7 (Xinhua) -- Some 450,000 military troops and police personnel would be deployed to tackle possible riots incited by those unsatisfied with the announcement of 2019 elections results scheduled on May 22, Indonesian Military Commander Air Marshal Hadi Tjahjanto said here on Tuesday."
0,"Threat of major terror attack in Kashmir reason behind deploying 10,000 troops: Govt","Sources from the government said the security establishment on Sunday confirmed inputs that Pakistan Army-backed terrorist groups are planning to carry out a major terror attack on Indian soil, and therefore 100 companies of paramilitary groups have been deployed in the Kashmir Valley."
0,"Sri Lanka to deploy 6,000 police officers for Narendra Modi’s security","Sri Lanka will deploy nearly 6,000 police officers to provide special security for Prime Minister Narendra Modi and other related events during his visit to the country next week to attend the UN Vesak festival, a top police official has said."
0,France to deploy troops to maintain security during protests,PARIS (AP) — French President Emmanuel Macron has announced that soldiers will be deployed across the country to help maintain security during yellow vest protests planned this weekend.
0,"Ekiti election: Police deploy 30,000 personnel, two choppers, others","The police have deployed 30,000 operatives, two helicopters and 250 patrol vehicles, including five Armoured Personnel Carriers, for the July 14 governorship election in Ekiti State."
0,Pakistan announces decision to send its troops to Saudi Arabia amid ongoing civil war in Yemen,"Islamabad: In a major policy shift, Pakistan has decided to deploy troops in Saudi Arabia under bilateral security cooperation with the kingdom which is involved in the ongoing civil war in neighbouring Yemen."
0,"30-40k troops to be deployed on Election Day, says AFP official","The Armed Forces of the Philippines will deploy around 30,000 to 40,000 troops on Election Day to assist the Commission on Elections in areas where it needs extra security, AFP public affairs chief Colonel Noel Detoyato said Tuesday."
0,Sudan braces for 'million man march' as troops deploy in Khartoum,"Military forces deployed throughout Sudan's capital on Sunday ahead of a planned ""million man march"" to protest against the country's ruling generals and to demand civilian rule. "
0,Centre deploys 100 additional companies of CAPF to Jammu and Kashmir ahead of Article 370 hearing in Supreme Court,"The Home Ministry on Friday issued a notification to ""urgently"" deploy additional Central Armed Police Forces (CAPF) in Jammu and Kashmir."
0,"20,000 cops, soldiers to be deployed to Mindanao for BOL plebiscite","More than 20,000 police and military personnel will be deployed in voting areas in different parts of Mindanao during the plebiscite for the ratification of the Bangsamoro Organic Law on January 21."
