title,text
Russian Soldiers Arrive In Pakistan For First-Ever Joint Military Exercise,A Russian mechanized infantry unit has arrived in Pakistan to participate in two countries' first joint military exercise.
"India, Japan, and the US Hold Joint Naval Exercises","India, the United States, and Japan are set to hold week long war games in the Pacific Ocean starting this Friday."
"Iran, World Powers Reach Nuclear Deal","ran reached a landmark nuclear agreement with the U.S. and five other world powers, a long-sought foreign policy goal of President Barack Obama that sets the White House on course for months of political strife with dissenters in Congress and in allied Middle Eastern nations."
Paris climate deal: nearly 200 nations sign in end of fossil fuel era,"Governments have signalled an end to the fossil fuel era, committing for the first time to a universal agreement to cut greenhouse gas emissions and to avoid the most dangerous effects of climate change."
"Mending Alliance, U.S. and Afghanistan Sign Long-Term Security Agreement","KABUL, Afghanistan — American and Afghan officials signed a long-term security pact here on Tuesday, nearly a year after the agreement was cast into limbo by a breakdown of trust at the highest levels of each allied government."
Asia-Pacific nations sign sweeping trade deal without U.S.,SANTIAGO (Reuters) - Eleven countries including Japan and Canada signed a landmark Asia-Pacific trade agreement without the United States on Thursday in what one minister called a powerful signal against protectionism and trade wars.
"U.S., Israel sign $38 billion military aid package","WASHINGTON (Reuters) - The United States will give Israel $38 billion in military assistance over the next decade, the largest such aid package in U.S. history, under a landmark agreement signed on Wednesday."
"U.S., India sign military logistics agreement","WASHINGTON (Reuters) - The United States and India signed an agreement on Monday governing the use of each other’s land, air and naval bases for repair and resupply, a step toward building defense ties as they seek to counter the growing maritime assertiveness of China."
"Ethiopian, Eritrean leaders sign peace agreement in Jeddah","JEDDAH (Reuters) - Ethiopia’s Prime Minister Abiy Ahmed and Eritrean President Isaias Afwerki signed a peace agreement in Saudi Arabia on Sunday, the second peace deal reached since July between the once warring African countries."
South Sudan's rival leaders sign power-sharing agreement,South Sudan's warring parties have reached a power-sharing deal to end a civil war that has killed tens of thousands of people and displaced millions in the world's youngest country.
Economic 'game changer'? African leaders launch free-trade zone,"NIAMEY (Reuters) - African leaders launched a continental free-trade zone on Sunday that if successful would unite 1.3 billion people, create a $3.4 trillion economic bloc and usher in a new era of development."
"South Sudan's president, rebel leader sign peace deal","ADDIS ABABA (Reuters) - South Sudan’s President Salva Kiir signed a peace agreement with rebel factions in the Ethiopian capital on Wednesday to end a civil war that has killed at least 50,000 people, displaced two million and held up the country’s progress since it gained independence seven years ago."
"Vietnam, European Union sign free trade agreement","HANOI, Vietnam (AP) — Vietnam and the European Union signed a free trade agreement on Sunday, opening opportunities to further boost trade between the euro bloc and one of Southeast Asia’s biggest manufacturing nations."
"China, Switzerland sign free trade agreement",BEIJING (Reuters) - China and Switzerland on Saturday signed a free trade agreement in Beijing - a move that came amid escalating tensions between Asia’s economic giant and the European Union.
